Year,Category,Subtype,Count,Cleared,ClearRate
2018,Crimes Against Property,Fraud,40,1,0.02
2017,Crimes Against Property,Auto Theft,31,2,0.06
2021,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1.0
2023,Controlled Drugs and Substances Act,Other,2,2,1.0
2014,Crimes Against Property,Theft Under $5000,372,262,0.7
2020,Crimes Against Property,Break & Enter-Apartment,9,6,0.67
2023,Crimes Against Property,Theft Over $5000,12,1,0.08
2017,Criminal Code Traffic,Other,9,9,1.0
2022,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1.0
2016,Crimes Against Property,Break & Enter-Apartment,12,2,0.17
2020,Crimes Against Property,Auto Theft,32,1,0.03
2019,Crimes Against the Person,Robbery-Other,9,5,0.56
2023,Crimes Against Property,Break & Enter-House,20,1,0.05
2021,Crimes Against Property,Theft Over $5000,18,1,0.06
2021,Crimes Against the Person,Assault,102,60,0.59
2019,Crimes Against the Person,Robbery-Other,21,12,0.57
2017,Controlled Drugs and Substances Act,Other,14,13,0.93
2014,Crimes Against the Person,Sexual Violation,21,17,0.81
2014,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,10,10,1.0
2021,Crimes Against Property,Break & Enter-Other,7,3,0.43
2015,Crimes Against Property,Fraud,12,2,0.17
2014,Crimes Against Property,Auto Theft,6,2,0.33
2015,Crimes Against the Person,Attempt Murder,1,1,1.0
2014,Other Criminal Code Violations,Other,2,2,1.0
2020,Crimes Against Property,Other,10,1,0.1
2022,Crimes Against the Person,Sexual Violation,36,18,0.5
2016,Crimes Against Property,Theft Under $5000,7,1,0.14
2019,Controlled Drugs and Substances Act,Other,6,6,1.0
2018,Controlled Drugs and Substances Act,Other,1,1,1.0
2021,Crimes Against the Person,Sexual Violation,23,10,0.43
2016,Crimes Against the Person,Robbery-Other,62,22,0.35
2014,Crimes Against Property,Break & Enter-Commercial,12,3,0.25
2016,Criminal Code Traffic,Other,3,3,1.0
2019,Crimes Against the Person,Robbery-Financial,5,2,0.4
2020,Controlled Drugs and Substances Act,Other,2,2,1.0
2018,Controlled Drugs and Substances Act,Other,24,23,0.96
2016,Crimes Against Property,Break & Enter-Other,4,1,0.25
2014,Crimes Against Property,Other,30,9,0.3
2015,Crimes Against Property,Fraud,27,8,0.3
2020,Criminal Code Traffic,Other,7,7,1.0
2023,Crimes Against Property,Theft Under $5000,426,135,0.32
2020,Crimes Against the Person,Attempt Murder,1,1,1.0
2016,Criminal Code Traffic,Other,1,1,1.0
2014,Crimes Against the Person,Sexual Violation,18,11,0.61
2021,Crimes Against Property,Other,79,17,0.22
2016,Crimes Against the Person,Assault,25,15,0.6
2016,Crimes Against the Person,Sexual Violation,11,3,0.27
2018,Controlled Drugs and Substances Act,Other,33,33,1.0
2015,Crimes Against Property,Other,7,1,0.14
2016,Other Criminal Code Violations,Other,1,1,1.0
2017,Crimes Against the Person,Other,15,12,0.8
2016,Controlled Drugs and Substances Act,Other,1,1,1.0
2017,Controlled Drugs and Substances Act,Other,40,40,1.0
2016,Crimes Against the Person,Other,21,10,0.48
2015,Crimes Against the Person,Sexual Violation,6,3,0.5
2022,Crimes Against Property,Break & Enter-House,5,1,0.2
2018,Crimes Against Property,Break & Enter-Apartment,7,3,0.43
2019,Crimes Against Property,Theft Over $5000,9,3,0.33
2015,Controlled Drugs and Substances Act,Other,53,49,0.92
2016,Crimes Against Property,Theft Under $5000,186,28,0.15
2023,Crimes Against the Person,Assault,69,44,0.64
2022,Crimes Against Property,Theft Under $5000,98,7,0.07
2023,Crimes Against the Person,Robbery-Other,6,3,0.5
2021,Crimes Against Property,Break & Enter-Apartment,2,2,1.0
2021,Crimes Against Property,Fraud,33,2,0.06
2017,Crimes Against Property,Break & Enter-Commercial,10,2,0.2
2016,Crimes Against Property,Theft Under $5000,1,1,1.0
2017,Crimes Against the Person,Sexual Violation,2,1,0.5
2023,Crimes Against Property,Break & Enter-Apartment,3,1,0.33
2014,Crimes Against Property,Auto Theft,9,1,0.11
2020,Other Criminal Code Violations,Other,10,6,0.6
2022,Crimes Against Property,Auto Theft,69,1,0.01
2014,Crimes Against Property,Theft Over $5000,6,3,0.5
2021,Crimes Against Property,Theft Over $5000,6,2,0.33
2016,Crimes Against Property,Other,52,9,0.17
2020,Crimes Against Property,Theft Under $5000,469,162,0.35
2023,Criminal Code Traffic,Other,7,6,0.86
2016,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3,0.75
2018,Other Criminal Code Violations,Other,75,64,0.85
2016,Crimes Against Property,Break & Enter-Commercial,2,1,0.5
2015,Other Federal Statute Violations,Other,1,1,1.0
2015,Criminal Code Traffic,Other,19,19,1.0
2019,Crimes Against Property,Auto Theft,15,2,0.13
2016,Other Criminal Code Violations,Other,4,4,1.0
2015,Crimes Against Property,Other,124,55,0.44
2023,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,4,0.8
2018,Crimes Against Property,Auto Theft,26,3,0.12
2016,Crimes Against Property,Break & Enter-House,31,2,0.06
2018,Crimes Against Property,Break & Enter-Commercial,8,1,0.12
2019,Crimes Against the Person,Other,20,12,0.6
2020,Crimes Against Property,Break & Enter-Commercial,5,1,0.2
2015,Controlled Drugs and Substances Act,Other,1,1,1.0
2014,Criminal Code Traffic,Other,2,2,1.0
2019,Crimes Against the Person,Sexual Violation,14,9,0.64
2022,Criminal Code Traffic,Other,19,15,0.79
2021,Crimes Against the Person,Assault,29,17,0.59
2022,Crimes Against Property,Break & Enter-Apartment,2,1,0.5
2023,Crimes Against Property,Break & Enter-House,4,1,0.25
2014,Crimes Against the Person,Sexual Violation,7,1,0.14
2014,Other Federal Statute Violations,Other,2,2,1.0
2014,Crimes Against Property,Theft Under $5000,1,1,1.0
2022,Crimes Against Property,Other,44,7,0.16
2018,Other Criminal Code Violations,Other,1,1,1.0
2014,Criminal Code Traffic,Other,19,19,1.0
2020,Crimes Against Property,Other,67,12,0.18
2016,Crimes Against Property,Break & Enter-Commercial,14,4,0.29
2015,Other Federal Statute Violations,Other,1,1,1.0
2021,Crimes Against Property,Theft Under $5000,117,10,0.09
2017,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3,0.75
2016,Crimes Against Property,Break & Enter-Commercial,7,1,0.14
2015,Crimes Against Property,Break & Enter-House,59,16,0.27
2016,Crimes Against Property,Break & Enter-Commercial,42,16,0.38
2018,Crimes Against the Person,Robbery-Other,93,48,0.52
2014,Crimes Against Property,Fraud,8,4,0.5
2021,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,1.0
2014,Crimes Against the Person,Attempt Murder,1,1,1.0
2020,Crimes Against the Person,Robbery-Other,5,1,0.2
2019,Crimes Against Property,Auto Theft,48,9,0.19
2014,Crimes Against Property,Fraud,8,4,0.5
2017,Crimes Against Property,Fraud,45,9,0.2
2017,Crimes Against the Person,Robbery-Other,9,3,0.33
2018,Crimes Against Property,Theft Under $5000,205,31,0.15
2016,Crimes Against Property,Theft Under $5000,82,26,0.32
2020,Crimes Against the Person,Robbery-Other,12,3,0.25
2015,Other Criminal Code Violations,Other,5,5,1.0
2019,Crimes Against Property,Break & Enter-Commercial,7,2,0.29
2021,Controlled Drugs and Substances Act,Other,2,1,0.5
2019,Controlled Drugs and Substances Act,Other,5,4,0.8
2017,Crimes Against the Person,Sexual Violation,2,2,1.0
2019,Crimes Against the Person,Other,6,3,0.5
2018,Crimes Against the Person,Other,18,11,0.61
2019,Controlled Drugs and Substances Act,Other,147,139,0.95
2021,Crimes Against Property,Other,32,13,0.41
2016,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,14,14,1.0
2017,Crimes Against Property,Break & Enter-Commercial,15,1,0.07
2020,Other Federal Statute Violations,Other,1,1,1.0
2020,Crimes Against Property,Fraud,99,12,0.12
2016,Crimes Against Property,Auto Theft,18,4,0.22
2015,Other Criminal Code Violations,Other,4,4,1.0
2015,Other Criminal Code Violations,Other,25,24,0.96
2020,Crimes Against Property,Break & Enter-Other,3,2,0.67
2018,Crimes Against Property,Theft Under $5000,251,8,0.03
2014,Crimes Against Property,Break & Enter-Commercial,17,9,0.53
2017,Crimes Against the Person,Other,2,2,1.0
2014,Crimes Against Property,Break & Enter-House,14,5,0.36
2021,Crimes Against the Person,Assault,77,54,0.7
2018,Crimes Against the Person,Assault,95,50,0.53
2015,Crimes Against Property,Theft Over $5000,30,6,0.2
2015,Crimes Against the Person,Assault,82,55,0.67
2014,Other Federal Statute Violations,Other,3,3,1.0
2023,Crimes Against the Person,Other,23,19,0.83
2019,Crimes Against the Person,Sexual Violation,13,8,0.62
2019,Crimes Against the Person,Assault,5,4,0.8
2019,Crimes Against Property,Auto Theft,7,2,0.29
2017,Criminal Code Traffic,Other,9,9,1.0
2020,Crimes Against the Person,Other,1,1,1.0
2015,Other Criminal Code Violations,Other,10,9,0.9
2016,Crimes Against Property,Fraud,62,7,0.11
2019,Crimes Against Property,Auto Theft,36,1,0.03
2021,Crimes Against the Person,Assault,58,40,0.69
2018,Crimes Against Property,Other,42,12,0.29
2014,Crimes Against Property,Break & Enter-House,5,2,0.4
2018,Crimes Against Property,Other,64,16,0.25
2014,Crimes Against Property,Other,20,2,0.1
2018,Crimes Against the Person,Other,6,4,0.67
2015,Crimes Against Property,Other,64,19,0.3
2017,Controlled Drugs and Substances Act,Other,1,1,1.0
2020,Crimes Against Property,Break & Enter-Apartment,1,1,1.0
2015,Crimes Against Property,Fraud,19,3,0.16
2019,Other Criminal Code Violations,Other,47,38,0.81
2017,Crimes Against Property,Break & Enter-Apartment,7,1,0.14
2015,Other Criminal Code Violations,Other,216,212,0.98
2020,Crimes Against the Person,Other,13,3,0.23
2020,Controlled Drugs and Substances Act,Other,50,49,0.98
2017,Crimes Against the Person,Robbery-Other,8,3,0.38
2015,Crimes Against Property,Other,31,4,0.13
2021,Crimes Against the Person,Robbery-Financial,2,2,1.0
2023,Crimes Against Property,Theft Under $5000,538,66,0.12
2016,Crimes Against Property,Theft Over $5000,9,2,0.22
2015,Crimes Against Property,Break & Enter-House,38,9,0.24
2019,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5,1.0
2019,Crimes Against Property,Theft Under $5000,21,9,0.43
2020,Crimes Against Property,Break & Enter-House,4,1,0.25
2016,Crimes Against the Person,Assault,45,36,0.8
2014,Crimes Against the Person,Robbery-Financial,2,2,1.0
2022,Other Criminal Code Violations,Other,8,6,0.75
2020,Crimes Against Property,Break & Enter-Apartment,1,1,1.0
2022,Criminal Code Traffic,Other,4,4,1.0
2022,Crimes Against Property,Break & Enter-Apartment,3,1,0.33
2018,Crimes Against the Person,Attempt Murder,2,2,1.0
2020,Other Federal Statute Violations,Other,1,1,1.0
2022,Crimes Against Property,Theft Under $5000,70,4,0.06
2020,Crimes Against Property,Theft Under $5000,77,14,0.18
2017,Crimes Against the Person,Assault,54,32,0.59
2021,Crimes Against the Person,Other,17,7,0.41
2019,Crimes Against the Person,Sexual Violation,11,6,0.55
2021,Crimes Against Property,Other,70,22,0.31
2015,Criminal Code Traffic,Other,5,5,1.0
2022,Crimes Against the Person,Other,10,6,0.6
2017,Controlled Drugs and Substances Act,Other,8,8,1.0
2016,Crimes Against the Person,Robbery-Other,1,1,1.0
2017,Crimes Against Property,Break & Enter-House,47,4,0.09
2020,Controlled Drugs and Substances Act,Other,2,2,1.0
2022,Crimes Against Property,Break & Enter-Commercial,12,5,0.42
2023,Crimes Against Property,Fraud,40,5,0.12
2021,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,7,0.88
2022,Crimes Against Property,Fraud,46,7,0.15
2018,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,6,1.0
2019,Crimes Against Property,Theft Under $5000,114,23,0.2
2019,Crimes Against Property,Theft Over $5000,6,1,0.17
2015,Crimes Against Property,Fraud,60,16,0.27
2015,Other Criminal Code Violations,Other,1,1,1.0
2015,Other Criminal Code Violations,Other,7,7,1.0
2021,Crimes Against the Person,Robbery-Other,6,1,0.17
2019,Crimes Against the Person,Assault,157,117,0.75
2017,Other Criminal Code Violations,Other,325,309,0.95
2018,Other Federal Statute Violations,Other,1,1,1.0
2016,Crimes Against Property,Theft Under $5000,81,15,0.19
2019,Crimes Against Property,Fraud,22,4,0.18
2019,Crimes Against the Person,Other,31,18,0.58
2023,Other Criminal Code Violations,Other,98,89,0.91
2019,Crimes Against the Person,Robbery-Financial,29,28,0.97
2016,Crimes Against Property,Auto Theft,21,3,0.14
2023,Crimes Against the Person,Sexual Violation,38,19,0.5
2022,Criminal Code Traffic,Other,10,10,1.0
2018,Other Criminal Code Violations,Other,66,59,0.89
2016,Crimes Against Property,Other,36,9,0.25
2014,Crimes Against the Person,Robbery-Financial,3,3,1.0
2014,Crimes Against Property,Break & Enter-Apartment,5,2,0.4
2023,Crimes Against Property,Break & Enter-Commercial,10,3,0.3
2014,Crimes Against the Person,Sexual Violation,7,5,0.71
2019,Other Criminal Code Violations,Other,10,7,0.7
2023,Crimes Against Property,Other,137,13,0.09
2014,Other Criminal Code Violations,Other,9,8,0.89
2015,Crimes Against the Person,Attempt Murder,1,1,1.0
2016,Crimes Against Property,Fraud,54,14,0.26
2014,Crimes Against Property,Break & Enter-House,14,7,0.5
2018,Crimes Against the Person,Assault,210,118,0.56
2015,Crimes Against the Person,Other,44,24,0.55
2020,Crimes Against Property,Break & Enter-House,14,5,0.36
2014,Crimes Against Property,Theft Under $5000,197,119,0.6
2022,Crimes Against Property,Theft Under $5000,3,1,0.33
2021,Crimes Against Property,Auto Theft,32,2,0.06
2016,Crimes Against the Person,Sexual Violation,3,2,0.67
2018,Crimes Against Property,Other,36,4,0.11
2023,Criminal Code Traffic,Other,154,143,0.93
2015,Crimes Against the Person,Sexual Violation,12,7,0.58
2016,Other Criminal Code Violations,Other,41,36,0.88
2020,Crimes Against the Person,Robbery-Other,26,8,0.31
2020,Controlled Drugs and Substances Act,Other,9,9,1.0
2023,Crimes Against the Person,Sexual Violation,29,13,0.45
2019,Crimes Against Property,Break & Enter-Apartment,17,3,0.18
2017,Crimes Against the Person,Other,34,23,0.68
2014,Crimes Against Property,Break & Enter-Other,3,1,0.33
2020,Crimes Against Property,Fraud,19,1,0.05
2014,Controlled Drugs and Substances Act,Other,32,31,0.97
2016,Crimes Against Property,Auto Theft,103,14,0.14
2020,Crimes Against Property,Break & Enter-Other,2,1,0.5
2017,Crimes Against Property,Fraud,24,3,0.12
2019,Controlled Drugs and Substances Act,Other,18,18,1.0
2023,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,1,0.33
2022,Crimes Against Property,Break & Enter-Commercial,11,3,0.27
2023,Crimes Against the Person,Assault,22,14,0.64
2019,Crimes Against the Person,Other,16,14,0.88
2022,Crimes Against Property,Break & Enter-Commercial,13,10,0.77
2016,Crimes Against Property,Break & Enter-Commercial,6,1,0.17
2022,Crimes Against the Person,Assault,50,22,0.44
2016,Controlled Drugs and Substances Act,Other,8,8,1.0
2016,Criminal Code Traffic,Other,6,6,1.0
2021,Criminal Code Traffic,Other,3,3,1.0
2019,Other Federal Statute Violations,Other,1,1,1.0
2021,Crimes Against Property,Fraud,111,17,0.15
2016,Crimes Against the Person,Robbery-Financial,1,1,1.0
2016,Crimes Against the Person,Assault,1,1,1.0
2016,Crimes Against the Person,Attempt Murder,1,1,1.0
2019,Crimes Against Property,Fraud,80,12,0.15
2016,Crimes Against Property,Other,189,68,0.36
2017,Controlled Drugs and Substances Act,Other,27,25,0.93
2018,Crimes Against Property,Auto Theft,14,1,0.07
2019,Crimes Against the Person,Sexual Violation,15,6,0.4
2018,Other Federal Statute Violations,Other,2,2,1.0
2022,Crimes Against the Person,Sexual Violation,4,2,0.5
2019,Other Criminal Code Violations,Other,41,35,0.85
2014,Crimes Against the Person,Assault,1,1,1.0
2023,Crimes Against Property,Other,94,20,0.21
2021,Crimes Against the Person,Assault,152,89,0.59
2019,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,2,0.5
2021,Other Criminal Code Violations,Other,5,5,1.0
2022,Crimes Against Property,Break & Enter-Apartment,63,20,0.32
2016,Controlled Drugs and Substances Act,Other,11,10,0.91
2022,Crimes Against Property,Theft Under $5000,255,17,0.07
2020,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1.0
2018,Crimes Against the Person,Assault,95,63,0.66
2022,Crimes Against Property,Other,21,5,0.24
2014,Crimes Against the Person,Sexual Violation,8,3,0.38
2015,Crimes Against Property,Theft Under $5000,124,26,0.21
2020,Crimes Against Property,Auto Theft,10,1,0.1
2016,Crimes Against Property,Other,58,4,0.07
2016,Crimes Against Property,Theft Over $5000,3,2,0.67
2018,Crimes Against Property,Fraud,83,31,0.37
2017,Crimes Against Property,Break & Enter-House,21,6,0.29
2016,Other Federal Statute Violations,Other,2,2,1.0
2018,Crimes Against Property,Other,24,5,0.21
2019,Crimes Against Property,Auto Theft,25,2,0.08
2020,Crimes Against Property,Fraud,26,6,0.23
2018,Crimes Against Property,Break & Enter-Apartment,7,1,0.14
2014,Controlled Drugs and Substances Act,Other,8,7,0.88
2019,Crimes Against the Person,Assault,101,73,0.72
2019,Crimes Against Property,Break & Enter-Apartment,13,1,0.08
2019,Crimes Against the Person,Sexual Violation,31,16,0.52
2016,Other Criminal Code Violations,Other,58,50,0.86
2022,Crimes Against the Person,Sexual Violation,13,9,0.69
2014,Crimes Against the Person,Robbery-Financial,2,2,1.0
2020,Crimes Against Property,Theft Under $5000,214,64,0.3
2021,Crimes Against the Person,Sexual Violation,3,2,0.67
2016,Controlled Drugs and Substances Act,Other,1,1,1.0
2016,Crimes Against Property,Break & Enter-House,1,1,1.0
2018,Criminal Code Traffic,Other,5,5,1.0
2017,Crimes Against Property,Fraud,42,10,0.24
2022,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,12,12,1.0
2015,Crimes Against the Person,Robbery-Other,14,8,0.57
2019,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,1,0.5
2019,Crimes Against the Person,Robbery-Other,20,9,0.45
2021,Controlled Drugs and Substances Act,Other,5,5,1.0
2019,Crimes Against Property,Break & Enter-House,8,2,0.25
2021,Crimes Against the Person,Other,19,11,0.58
2018,Crimes Against the Person,Robbery-Financial,1,1,1.0
2021,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,1.0
2019,Crimes Against the Person,Robbery-Other,28,4,0.14
2020,Crimes Against Property,Break & Enter-Other,3,2,0.67
2017,Crimes Against Property,Theft Under $5000,112,28,0.25
2020,Crimes Against Property,Theft Under $5000,179,20,0.11
2019,Other Federal Statute Violations,Other,1,1,1.0
2022,Crimes Against Property,Break & Enter-Commercial,5,2,0.4
2022,Crimes Against the Person,Robbery-Other,13,4,0.31
2020,Crimes Against the Person,Assault,40,16,0.4
2015,Crimes Against the Person,Assault,100,70,0.7
2016,Crimes Against Property,Break & Enter-House,9,3,0.33
2022,Other Criminal Code Violations,Other,9,7,0.78
2017,Crimes Against the Person,Sexual Violation,6,2,0.33
2014,Crimes Against Property,Theft Under $5000,12,1,0.08
2016,Crimes Against Property,Theft Under $5000,64,16,0.25
2021,Crimes Against Property,Theft Under $5000,12,1,0.08
2021,Crimes Against the Person,Sexual Violation,6,1,0.17
2018,Crimes Against Property,Fraud,61,13,0.21
2022,Crimes Against Property,Fraud,117,10,0.09
2017,Crimes Against the Person,Assault,30,18,0.6
2014,Crimes Against Property,Other,40,5,0.12
2014,Crimes Against Property,Auto Theft,7,1,0.14
2021,Crimes Against Property,Fraud,24,1,0.04
2020,Crimes Against the Person,Sexual Violation,12,8,0.67
2019,Controlled Drugs and Substances Act,Other,2,2,1.0
2020,Crimes Against Property,Fraud,58,5,0.09
2019,Other Federal Statute Violations,Other,1,1,1.0
2015,Crimes Against Property,Fraud,19,5,0.26
2016,Crimes Against Property,Fraud,55,7,0.13
2022,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,12,9,0.75
2016,Crimes Against the Person,Sexual Violation,18,15,0.83
2022,Crimes Against Property,Auto Theft,16,3,0.19
2016,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3,1.0
2017,Crimes Against the Person,Assault,22,13,0.59
2022,Crimes Against the Person,Robbery-Other,4,4,1.0
2015,Crimes Against Property,Theft Under $5000,240,83,0.35
2023,Crimes Against the Person,Robbery-Other,13,6,0.46
2017,Crimes Against Property,Break & Enter-Other,15,3,0.2
2015,Controlled Drugs and Substances Act,Other,7,5,0.71
2017,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,42,40,0.95
2015,Crimes Against Property,Fraud,10,1,0.1
2020,Crimes Against the Person,Assault,46,26,0.57
2014,Crimes Against the Person,Robbery-Other,21,9,0.43
2023,Crimes Against Property,Other,88,17,0.19
2022,Crimes Against Property,Other,31,4,0.13
2019,Crimes Against Property,Other,24,10,0.42
2018,Crimes Against the Person,Assault,29,16,0.55
2014,Controlled Drugs and Substances Act,Other,7,7,1.0
2022,Crimes Against Property,Break & Enter-House,10,3,0.3
2017,Crimes Against Property,Other,56,15,0.27
2017,Crimes Against the Person,Robbery-Other,4,2,0.5
2019,Other Federal Statute Violations,Other,1,1,1.0
2021,Crimes Against Property,Break & Enter-Apartment,7,2,0.29
2018,Controlled Drugs and Substances Act,Other,4,4,1.0
2023,Crimes Against Property,Auto Theft,88,1,0.01
2022,Crimes Against Property,Auto Theft,44,2,0.05
2019,Crimes Against the Person,Robbery-Other,18,7,0.39
2015,Criminal Code Traffic,Other,8,8,1.0
2021,Controlled Drugs and Substances Act,Other,2,1,0.5
2014,Crimes Against Property,Other,28,12,0.43
2017,Crimes Against Property,Fraud,37,9,0.24
2022,Controlled Drugs and Substances Act,Other,3,1,0.33
2017,Criminal Code Traffic,Other,1,1,1.0
2021,Crimes Against the Person,Assault,77,44,0.57
2022,Other Criminal Code Violations,Other,321,265,0.83
2021,Other Criminal Code Violations,Other,131,107,0.82
2021,Crimes Against Property,Theft Under $5000,176,34,0.19
2019,Crimes Against Property,Theft Under $5000,844,292,0.35
2015,Crimes Against the Person,Robbery-Financial,1,1,1.0
2015,Crimes Against Property,Break & Enter-Commercial,58,4,0.07
2015,Crimes Against Property,Theft Under $5000,141,56,0.4
2019,Crimes Against Property,Fraud,100,8,0.08
2023,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,1.0
2016,Crimes Against Property,Other,16,5,0.31
2023,Crimes Against the Person,Robbery-Other,22,8,0.36
2018,Other Criminal Code Violations,Other,3,1,0.33
2017,Crimes Against the Person,Other,14,9,0.64
2016,Controlled Drugs and Substances Act,Other,48,48,1.0
2017,Other Federal Statute Violations,Other,6,6,1.0
2018,Crimes Against Property,Other,4,2,0.5
2016,Crimes Against Property,Break & Enter-Other,2,1,0.5
2016,Crimes Against Property,Break & Enter-Apartment,16,4,0.25
2019,Crimes Against Property,Other,25,7,0.28
2017,Crimes Against Property,Theft Under $5000,122,23,0.19
2022,Other Federal Statute Violations,Other,1,1,1.0
2017,Crimes Against Property,Fraud,35,6,0.17
2021,Crimes Against the Person,Robbery-Other,2,2,1.0
2017,Crimes Against Property,Fraud,61,11,0.18
2019,Crimes Against Property,Break & Enter-House,3,2,0.67
2017,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,1.0
2015,Crimes Against Property,Fraud,3,1,0.33
2014,Crimes Against Property,Auto Theft,21,8,0.38
2018,Crimes Against Property,Other,77,22,0.29
2018,Crimes Against Property,Theft Over $5000,20,10,0.5
2017,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5,1.0
2017,Crimes Against Property,Fraud,20,2,0.1
2023,Crimes Against Property,Fraud,112,7,0.06
2023,Crimes Against Property,Other,48,14,0.29
2016,Crimes Against Property,Theft Under $5000,58,15,0.26
2014,Other Criminal Code Violations,Other,1,1,1.0
2023,Crimes Against Property,Break & Enter-Apartment,4,1,0.25
2021,Crimes Against Property,Fraud,108,2,0.02
2019,Criminal Code Traffic,Other,15,15,1.0
2018,Crimes Against Property,Auto Theft,9,2,0.22
2017,Crimes Against Property,Auto Theft,9,2,0.22
2020,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,4,0.67
2020,Crimes Against the Person,Sexual Violation,13,5,0.38
2019,Controlled Drugs and Substances Act,Other,10,9,0.9
2020,Criminal Code Traffic,Other,17,15,0.88
2023,Controlled Drugs and Substances Act,Other,26,20,0.77
2019,Other Criminal Code Violations,Other,12,9,0.75
2020,Crimes Against Property,Fraud,24,1,0.04
2016,Criminal Code Traffic,Other,17,17,1.0
2016,Crimes Against Property,Auto Theft,15,6,0.4
2023,Crimes Against Property,Theft Under $5000,554,112,0.2
2022,Crimes Against the Person,Sexual Violation,2,1,0.5
2014,Crimes Against Property,Break & Enter-House,13,2,0.15
2014,Crimes Against Property,Theft Over $5000,3,1,0.33
2017,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,11,7,0.64
2018,Other Criminal Code Violations,Other,88,80,0.91
2018,Controlled Drugs and Substances Act,Other,2,2,1.0
2022,Criminal Code Traffic,Other,4,4,1.0
2019,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5,1.0
2014,Crimes Against the Person,Sexual Violation,6,4,0.67
2021,Crimes Against Property,Other,164,51,0.31
2022,Crimes Against Property,Other,35,7,0.2
2017,Crimes Against Property,Auto Theft,72,8,0.11
2017,Crimes Against the Person,Attempt Murder,1,1,1.0
2018,Other Criminal Code Violations,Other,18,15,0.83
2016,Other Criminal Code Violations,Other,2,2,1.0
2014,Controlled Drugs and Substances Act,Other,229,225,0.98
2021,Crimes Against Property,Break & Enter-Other,3,2,0.67
2020,Crimes Against the Person,Sexual Violation,7,5,0.71
2015,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,1,0.5
2016,Crimes Against Property,Other,64,30,0.47
2020,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1,1.0
2023,Crimes Against Property,Other,64,22,0.34
2021,Crimes Against the Person,Other,5,2,0.4
2017,Other Federal Statute Violations,Other,1,1,1.0
2014,Crimes Against Property,Break & Enter-Commercial,4,1,0.25
2019,Crimes Against the Person,Robbery-Other,14,5,0.36
2017,Crimes Against the Person,Attempt Murder,1,1,1.0
2019,Crimes Against Property,Theft Over $5000,6,2,0.33
2019,Crimes Against Property,Fraud,54,12,0.22
2021,Crimes Against the Person,Sexual Violation,20,10,0.5
2015,Crimes Against Property,Auto Theft,19,2,0.11
2023,Controlled Drugs and Substances Act,Other,4,2,0.5
2022,Crimes Against Property,Break & Enter-Other,2,1,0.5
2023,Crimes Against Property,Break & Enter-Apartment,5,2,0.4
2022,Crimes Against Property,Break & Enter-Other,4,1,0.25
2018,Crimes Against Property,Auto Theft,16,3,0.19
2018,Other Criminal Code Violations,Other,73,67,0.92
2022,Crimes Against the Person,Robbery-Other,8,5,0.62
2023,Crimes Against the Person,Other,15,9,0.6
2022,Crimes Against Property,Break & Enter-Other,1,1,1.0
2022,Crimes Against the Person,Sexual Violation,15,7,0.47
2016,Other Federal Statute Violations,Other,3,2,0.67
2022,Crimes Against Property,Fraud,109,6,0.06
2016,Crimes Against Property,Auto Theft,20,3,0.15
2014,Crimes Against Property,Break & Enter-Commercial,2,1,0.5
2016,Criminal Code Traffic,Other,1,1,1.0
2015,Other Federal Statute Violations,Other,1,1,1.0
2022,Crimes Against Property,Break & Enter-House,18,4,0.22
2020,Crimes Against the Person,Sexual Violation,7,5,0.71
2022,Crimes Against Property,Theft Under $5000,1330,218,0.16
2018,Other Criminal Code Violations,Other,43,37,0.86
2016,Crimes Against Property,Fraud,38,7,0.18
2023,Controlled Drugs and Substances Act,Other,12,9,0.75
2022,Crimes Against the Person,Sexual Violation,19,8,0.42
